City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
94,Asfi,MA,2021-01-13 17:26:05,32.2994,-9.2372,58.96,61,0,15.08
95,Lazarev,RU,2021-01-13 17:26:05,52.225,141.5131,-4.81,92,100,18.05
96,Uttaradit,TH,2021-01-13 17:26:05,17.6667,100.5,64.0,51,3,2.24
97,Lompoc,US,2021-01-13 17:25:16,34.6391,-120.4579,57.0,81,1,3.44
98,Kavaratti,IN,2021-01-13 17:26:05,10.5669,72.642,77.07,76,100,4.47
99,Ouro Fino,BR,2021-01-13 17:26:05,-22.2831,-46.3692,77.0,69,75,1.07
100,Hasaki,JP,2021-01-13 17:26:05,35.7333,140.8333,33.8,86,40,3.44
101,Geraldton,AU,2021-01-13 17:26:05,-28.7667,114.6,73.4,73,0,12.66
102,Saint George,US,2021-01-13 17:26:05,37.1041,-113.5841,30.2,43,1,5.75
103,Kotido,UG,2021-01-13 17:26:06,2.9806,34.1331,80.56,30,40,17.36
104,Ovre Ardal,NO,2021-01-13 17:26:06,61.3167,7.8,14.0,67,0,2.3
105,Klaksvik,FO,2021-01-13 17:26:06,62.2266,-6.589,39.2,81,75,17.27
106,Teya,RU,2021-01-13 17:26:06,60.3778,92.6267,-12.51,86,100,6.91
107,Manokwari,ID,2021-01-13 17:26:06,-0.8667,134.0833,78.96,77,98,3.8
108,Nyurba,RU,2021-01-13 17:26:06,63.2842,118.3319,-20.49,87,100,4.81
109,Amarante Do Maranhao,BR,2021-01-13 17:26:06,-5.5667,-46.7422,90.01,54,8,2.35
110,Berlevag,NO,2021-01-13 17:26:06,70.8578,29.0864,14.0,67,75,26.46
111,Mulege,MX,2021-01-13 17:26:06,26.8833,-111.9833,65.55,27,0,10.38
112,Auki,SB,2021-01-13 17:26:06,-8.7676,160.7034,77.61,86,77,4.29
113,Shubarkuduk,KZ,2021-01-13 17:26:06,49.1447,56.4872,3.06,90,96,15.1
114,Asosa,ET,2021-01-13 17:26:06,10.0667,34.5333,69.62,28,9,4.05
115,Troitsko-Pechorsk,RU,2021-01-13 17:26:06,62.7084,56.1964,-19.05,87,15,0.22
116,Bowen,AU,2021-01-13 17:26:06,-20.0167,148.2333,75.2,88,90,12.66
117,Pisco,PE,2021-01-13 17:26:06,-13.7,-76.2167,75.2,73,0,8.05
118,Saint Anthony,US,2021-01-13 17:26:07,45.0205,-93.218,37.99,80,90,3.44
119,Nanortalik,GL,2021-01-13 17:26:07,60.1432,-45.2371,29.7,95,100,17.6
120,Pacific Grove,US,2021-01-13 17:26:07,36.6177,-121.9166,55.99,76,1,8.05
121,College,US,2021-01-13 17:25:16,64.8569,-147.8028,-5.8,77,20,1.95
122,Uthal,PK,2021-01-13 17:26:07,25.8072,66.6219,57.09,34,0,1.92
123,Vila Franca Do Campo,PT,2021-01-13 17:26:07,37.7167,-25.4333,64.0,94,40,8.05
124,Simao,CN,2021-01-13 17:26:07,22.7886,100.9748,42.26,95,74,0.76
125,Lagoa,PT,2021-01-13 17:26:07,39.05,-27.9833,59.83,82,100,13.31
126,Seymchan,RU,2021-01-13 17:26:07,62.8833,152.4333,-31.95,82,99,3.51
127,Ponta Do Sol,PT,2021-01-13 17:26:07,32.6667,-17.1,60.8,55,20,5.75
128,Hithadhoo,MV,2021-01-13 17:26:07,-0.6,73.0833,82.27,76,63,20.78
129,Winnemucca,US,2021-01-13 17:22:22,40.973,-117.7357,45.3,57,100,9.6
130,Bathsheba,BB,2021-01-13 17:26:07,13.2167,-59.5167,84.2,65,20,20.71
131,Roebourne,AU,2021-01-13 17:26:07,-20.7833,117.1333,93.56,32,29,10.71
132,Vao,NC,2021-01-13 17:26:07,-22.6667,167.4833,76.95,85,93,18.99
133,Yulara,AU,2021-01-13 17:26:08,-25.2406,130.9889,86.0,19,22,9.22
134,Waipawa,NZ,2021-01-13 17:26:08,-41.4122,175.5153,62.6,82,3,11.5
135,Usogorsk,RU,2021-01-13 17:26:08,63.4106,48.6872,-13.61,83,45,2.3
136,Praya,CV,2021-01-13 17:26:08,14.9215,-23.5087,77.0,57,75,17.27
137,Port Lincoln,AU,2021-01-13 17:26:08,-34.7333,135.8667,57.36,82,17,11.21
138,San Quintin,MX,2021-01-13 17:26:08,30.4833,-115.95,64.35,29,0,2.01
139,Sahbuz,AZ,2021-01-13 17:26:08,39.4072,45.5739,33.8,69,90,4.61
140,Tuatapere,NZ,2021-01-13 17:26:08,-46.1333,167.6833,55.99,86,6,1.01
141,Kapoeta,SS,2021-01-13 17:26:08,4.7717,33.5903,88.12,22,25,10.22
142,Haines Junction,CA,2021-01-13 17:26:08,60.7522,-137.5108,8.6,92,100,2.3
143,Te Anau,NZ,2021-01-13 17:26:08,-45.4167,167.7167,54.84,88,60,2.91
144,Smidovich,RU,2021-01-13 17:26:09,48.6,133.8167,2.19,94,100,3.33
145,Zhezkazgan,KZ,2021-01-13 17:26:09,47.8043,67.7144,-9.9,91,79,8.81
146,Srednekolymsk,RU,2021-01-13 17:26:09,67.45,153.6833,-27.02,85,100,6.73
147,Lorengau,PG,2021-01-13 17:26:09,-2.0226,147.2712,82.27,75,100,8.52
148,Ancud,CL,2021-01-13 17:26:09,-41.8697,-73.8203,64.4,55,0,8.05
149,Eureka,US,2021-01-13 17:25:49,40.8021,-124.1637,55.99,94,100,1.01
